LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
"$150K andUnder",725058,37178984187,70.05,15.02
>$150K - $350K,156590,35735615983,15.13,14.44
>$350K - $1M,102473,59291602643,9.9,23.95
>$1M - $2M,31176,43278883532,3.01,17.48
>$2M - $5M,16516,49288997593,1.6,19.91
>$5M,3273,22769309582,0.32,9.2
