State,LoanCount,NetDollars
AK,11169,1247632643
AL,65806,6191565635
AR,42427,3319742303
AS,223,10506811
AZ,81015,8624142070
CA,581140,68225253665
CO,104402,10369964852
CT,60951,6690573886
DC,12483,2137811705
DE,12502,1489717332
FL,393028,32045720362
GA,156814,14502923640
GU,2164,197016238
HI,24534,2497717752
IA,58466,5087064565
ID,30167,2571003631
IL,202143,22486267789
IN,79151,9485147788
KS,51872,4996112228
KY,48354,5239687995
LA,73825,7339607519
MA,113000,14329027191
MD,81315,10054533726
ME,27200,2242074846
MI,121135,15959809357
MN,98138,11208272990
MO,91498,9143522129
MP,473,39333708
MS,45817,3165442525
MT,23104,1762484534
NC,121917,12405099857
ND,19724,1765068431
NE,42499,3421713932
NH,23829,2550585128
NJ,147550,17204788723
NM,21924,2240751741
NV,42147,4125976098
NY,323903,38349280077
OH,140270,18370838345
OK,64277,5446203356
OR,62769,6978512390
PA,165918,20711084796
PR,37837,1800809289
RI,17163,1879909109
SC,63178,5740234166
SD,22508,1664208859
TN,93292,8916915556
TX,389396,41051828678
UT,50691,5247494314
VA,109225,12611135107
VI,1896,124453844
VT,11929,1187439086
WA,101049,12302067753
WI,85461,9879400471
WV,17322,1800837214
WY,13231,1041442563
To be confirmed,167,6057463
