State,LoanCount,NetDollars
AK,10135,1211029747
AL,60909,6112333061
AR,40591,3280578818
AS,132,6860666
AZ,74409,8446594216
CA,524172,66363091119
CO,98072,10202797396
CT,56123,6592532219
DC,11247,2103048960
DE,11574,1455386237
FL,343442,30512350550
GA,136687,13977749017
GU,1950,191528826
HI,23416,2450574225
IA,54928,5009203064
ID,28620,2541120396
IL,183674,22002678908
IN,74045,9359675711
KS,49375,4928731185
KY,45753,5186086685
LA,67142,7201716457
MA,106126,14167776556
MD,73506,9805567647
ME,25721,2215851252
MI,113487,15689012295
MN,92090,11027450349
MO,86457,9022939369
MP,362,35679198
MS,42359,3132560496
MT,22124,1742270456
NC,112855,12218499858
ND,18925,1744330636
NE,40418,3395027285
NH,22506,2516773863
NJ,133366,16800063375
NM,20608,2200984024
NV,38259,4031674600
NY,290451,37332202200
OH,130736,18136107594
OK,61412,5414559493
OR,57304,6772195380
PA,156443,20456338186
PR,31419,1718588944
RI,16158,1851641511
SC,58851,5637682539
SD,21154,1641088140
TN,85617,8806987658
TX,356757,40163384025
UT,47935,5190977385
VA,100925,12378222348
VI,1389,115252446
VT,11222,1170104201
WA,92627,12014072884
WI,80341,9755939820
WV,16376,1772260451
WY,12741,1017610088
To be confirmed,176,7154910
