State,LoanCount,NetDollars
AK,10365,1220680104
AL,62054,6112307591
AR,41112,3277356393
AS,145,7043823
AZ,76023,8464610652
CA,537614,66669235081
CO,99807,10234368111
CT,57267,6606171723
DC,11553,2111474209
DE,11823,1464937506
FL,355985,30831971178
GA,140997,14042012004
GU,2004,192582619
HI,23786,2465011254
IA,55954,5025766026
ID,29051,2546673937
IL,188227,22106605387
IN,75183,9379316204
KS,50103,4944008523
KY,46511,5196814859
LA,69202,7241363297
MA,107431,14151110970
MD,75459,9852395498
ME,26128,2212903128
MI,115043,15722896546
MN,93533,11086134591
MO,87797,9050042956
MP,414,36763173
MS,43420,3139550768
MT,22399,1746953456
NC,114960,12249023295
ND,19183,1754925373
NE,40963,3400263865
NH,22785,2519389497
NJ,136869,16898328549
NM,20991,2214640096
NV,39245,4037989691
NY,297775,37548994774
OH,132731,18152557128
OK,62323,5401454117
OR,58824,6823353161
PA,158720,20533839876
PR,33573,1747031385
RI,16370,1858135650
SC,59891,5650936213
SD,21533,1647772605
TN,87513,8790096017
TX,364506,40314507983
UT,48861,5188288610
VA,103066,12426022067
VI,1548,119316624
VT,11361,1173838271
WA,94873,12093612342
WI,81801,9782045310
WV,16665,1778813877
WY,12895,1021036842
To be confirmed,173,6409358
