LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$50K and Under,2846607,52960366039,64.3,10.4
>$50K - $100K,648430,46191025305,14.7,9.0
>$100K - $150K,282880,34635685927,6.4,6.8
>$150K - $350K,368316,82781572510,8.3,16.2
>$350K - $1M,197015,112148685985,4.5,21.9
>$1M - $2M,52785,73130105931,1.2,14.3
>$2M - $5M,25151,74777636882,0.6,14.6
>$5M,4934,34606869516,0.1,6.8
