Rank,LenderName,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,JPMorgan Chase Bank,262799,28798003966,109582,4.4
2,Bank of America,333020,25171085993,75584,3.8
3,PNC Bank,72822,13055480671,179279,2.0
4,Truist Bank,75759,12980900084,171345,2.0
5,Wells Fargo Bank,178533,10342511095,57931,1.6
6,TD Bank,80413,8401331673,104477,1.3
7,KeyBank,39820,8064532480,202525,1.2
8,U.S. Bank,95969,7261899367,75669,1.1
9,Zions Bank,44698,6863405854,153551,1.0
10,M&T Bank,34746,6785924329,195301,1.0
11,Huntington Bank,35534,6472560010,182151,1.0
12,Fifth Third Bank,36813,5406605847,146867,0.8
13,Citizens Bank,49271,4991020463,101297,0.8
14,BMO Harris Bank,20860,4775070376,228910,0.7
15,Cross River Bank,106575,4695905324,44062,0.7
