State,LoanCount,NetDollars
AK,4750,368180450
AL,30647,1525755462
AR,17401,663435916
AS,87,4966444
AZ,51317,4012653804
CA,376803,35802231257
CO,52785,3267353381
CT,34629,2725531573
DC,7216,1065656193
DE,5667,395884847
FL,222570,13410559155
GA,78008,5117317474
GU,1206,93721567
HI,10414,487023393
IA,23191,855528382
ID,14051,763899867
IL,101905,6973556382
IN,35624,2173039568
KS,21106,873817925
KY,20394,1159401378
LA,37186,2271563428
MA,56506,4678358510
MD,41378,3556949724
ME,10287,345125193
MI,66790,5822149865
MN,42863,2351171512
MO,36808,1806239740
MP,259,21052640
MS,19614,708706077
MT,8121,297612268
NC,66677,4696588382
ND,7461,246267563
NE,15647,513129973
NH,10228,611995492
NJ,90970,8027542309
NM,11565,818989209
NV,26516,2097112541
NY,190052,18789434045
OH,66359,4945138628
OK,23856,929949637
OR,35751,3217222676
PA,81093,5740967808
PR,23787,1053976529
RI,7960,593188486
SC,33061,2019303964
SD,8991,307098234
TN,46905,2613261852
TX,204762,13860253758
UT,24733,1771010637
VA,54989,4337890876
VI,913,61469771
VT,4152,204865767
WA,58149,5394106824
WI,34118,1785329072
WV,7897,485847921
WY,4804,215303718
To be confirmed,188,7899524
