Rank,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,290431,23216152604,79937,4.2
2,226698,16913077494,74606,4.7
3,156694,10267646590,65527,1.6
4,62491,4622468110,73970,1.1
5,51971,4450545080,85635,2.2
6,33662,3238240048,96199,2.1
7,75166,3129948175,41640,0.6
8,26382,2739199927,103828,1.1
9,47174,2478373747,52537,1.3
10,12033,2429130347,201872,0.6
11,23471,2252706197,95978,0.9
12,34668,2234360969,64450,0.8
13,52668,2187863607,41541,0.4
14,20869,2183347867,104622,0.5
15,14373,2156339343,150027,0.5
