State,LoanCount,NetDollars
AK,10040,1208770595
AL,60457,6136772466
AR,40329,3286789662
AS,120,6607116
AZ,73739,8500857972
CA,517371,66516390881
CO,97328,10231604713
CT,55515,6607336710
DC,11088,2138250657
DE,11427,1455089694
FL,336539,30433602779
GA,134566,13979388621
GU,1925,192676575
HI,23312,2473118450
IA,54380,5026402736
ID,28448,2548578556
IL,181102,22075994303
IN,73430,9379164461
KS,48945,4935141752
KY,45384,5191746574
LA,66398,7213944766
MA,105819,14251390112
MD,72427,9799410559
ME,25615,2214623728
MI,113067,15714549484
MN,91529,11005653766
MO,85768,9031605393
MP,360,36013357
MS,41955,3157503548
MT,21988,1739815188
NC,111591,12244899627
ND,18806,1748499793
NE,40124,3397206889
NH,22368,2527832900
NJ,131696,16863791540
NM,20431,2199886051
NV,37712,4021158951
NY,286743,37442694244
OH,129626,18150438777
OK,60920,5404415629
OR,56638,6773150744
PA,155396,20516529432
PR,30253,1707629617
RI,16019,1848577405
SC,58300,5643833539
SD,20914,1637955132
TN,84601,8832113210
TX,352993,40289668116
UT,47683,5237305020
VA,99870,12402786626
VI,1349,115631073
VT,11194,1169519989
WA,91702,12007919035
WI,79736,9767111608
WV,16219,1767832494
WY,12686,1017387754
To be confirmed,177,7377723
