LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$50K and Under,1567355,28388688805,70.86,16.15
>$50K - $100K,304561,21565070866,13.77,12.27
>$100K - $150K,121086,14793771283,5.47,8.42
>$150K - $350K,138968,30739136703,6.28,17.49
>$350K - $1M,58758,32766135277,2.66,18.64
>$1M - $2M,13481,18619762249,0.61,10.59
>$2M - $5M,6110,18121875023,0.28,10.31
>$5M,1472,10748807702,0.07,6.12
