State,LoanCount,NetDollars
AK,9890,1243284491
AL,59570,6170632822
AR,39694,3286177392
AS,100,6020337
AZ,72523,8563928791
CA,505798,66500354602
CO,96285,10312546432
CT,54559,6656038715
DC,10804,2166021316
DE,11199,1453444170
FL,325845,30341950424
GA,131085,14026631738
GU,1792,192244312
HI,22733,2458559376
IA,53419,5040518493
ID,28125,2562518017
IL,176819,22156267843
IN,72543,9442058522
KS,48230,4951595045
KY,44705,5190320598
LA,65158,7218312417
MA,104415,14295657394
MD,70364,9810223415
ME,25420,2230439306
MI,111773,15778056406
MN,90315,11010690044
MO,84497,9086784291
MP,336,34902412
MS,41147,3151130230
MT,21703,1732243726
NC,109032,12269542063
ND,18599,1759593477
NE,39655,3402588298
NH,22084,2538217516
NJ,128638,16960906906
NM,20192,2213562644
NV,36799,4000175316
NY,281058,37798829252
OH,128316,18392976510
OK,60050,5392464543
OR,55882,6835721738
PA,153537,20762406584
PR,28419,1695960902
RI,15857,1857053019
SC,57179,5644571896
SD,20608,1637061030
TN,82768,8839243231
TX,346839,40470177091
UT,47046,5273873612
VA,97659,12459519011
VI,1260,112608137
VT,11124,1173166322
WA,90505,12114695863
WI,78490,9801182572
WV,15972,1766029138
WY,12546,1021746840
To be confirmed,185,7710771
