NAICS_Subsector_Desc,LoanCount,NetDollars,PctOfAmount
Health Care and Social Assistance,506263,67356500071,12.92
"Professional, Scientific, and Technical Services",638221,66430801754,12.74
Construction,466221,64568137994,12.38
Manufacturing,229591,54002922769,10.36
Accommodation and Food Services,367502,42099336178,8.07
Retail Trade,450181,40355657949,7.74
Other Services (except Public Administration),531572,31145678051,5.97
Wholesale Trade,167237,27726783463,5.32
Administrative and Support and Waste Management and Remediation Services,240947,26482972198,5.08
Transportation and Warehousing,191609,17088399318,3.28
Real Estate and Rental and Leasing,245697,15631026225,3.0
Finance and Insurance,168462,12205158596,2.34
Educational Services,81387,11998270955,2.3
Unclassified Establishments,222096,9901564953,1.9
Information,69106,9264147642,1.78
"Arts, Entertainment, and Recreation",118332,7996562961,1.53
"Agriculture, Forestry, Fishing and Hunting",139150,7908693255,1.52
Mining,21570,4510946138,0.87
Public Administration,13423,1733982305,0.33
Management of Companies and Enterprises,8893,1581110997,0.3
Utilities,7928,1495163987,0.29
