LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$150K and Under,1229893,58321791761,74.03,17.04
>$150K - $350K,224061,50926354675,13.49,14.88
>$350K - $1M,140197,80628410796,8.44,23.56
>$1M - $2M,41238,57187983464,2.48,16.71
>$2M - $5M,21566,64315474825,1.3,18.79
>$5M,4412,30897983582,0.27,9.03
