LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$50K and Under,3064336,55987179541,65.7,10.9
>$50K - $100K,662648,47193767606,14.2,9.2
>$100K - $150K,287175,35157045956,6.2,6.8
>$150K - $350K,372208,83607998720,8.0,16.2
>$350K - $1M,197919,112593061665,4.2,21.9
>$1M - $2M,52717,73053341485,1.1,14.2
>$2M - $5M,24741,73546628249,0.5,14.3
>$5M,4816,33800766694,0.1,6.6
