LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$50K and Under,2764582,51887290078,63.7,10.1
>$50K - $100K,644259,45907851290,14.8,8.9
>$100K - $150K,282221,34556740347,6.5,6.7
>$150K - $350K,368505,82842933567,8.5,16.1
>$350K - $1M,197741,112599464898,4.6,21.9
>$1M - $2M,53142,73630589334,1.2,14.3
>$2M - $5M,25624,76215389190,0.6,14.8
>$5M,5071,35630878655,0.1,6.9
