State,LoanCount,NetDollars
AK,2703.0,602911645.0
AL,19244.0,3819600518.0
AR,14803.0,2166563254.0
AS,1.0,389500.0
AZ,10898.0,3524770207.0
CA,54922.0,20853495045.0
CO,28469.0,5830781842.0
CT,11930.0,2923132220.0
DC,1663.0,791004872.0
DE,1974.0,590422870.0
FL,52021.0,12656107018.0
GA,29423.0,6725718213.0
GU,238.0,53659254.0
HI,8426.0,1626051108.0
IA,22295.0,3748993223.0
ID,8846.0,1399191164.0
IL,44453.0,12503648850.0
IN,23583.0,5986077384.0
KS,19915.0,3729110056.0
KY,17216.0,3336402794.0
LA,17097.0,3745462888.0
MA,27315.0,7073245593.0
MD,11937.0,3756206258.0
ME,10889.0,1710424025.0
MI,24974.0,7321573738.0
MN,33819.0,7633395870.0
MO,34088.0,6433368771.0
MP,29.0,7540546.0
MS,14209.0,1921783598.0
MT,10372.0,1293105048.0
NC,23786.0,5729549254.0
ND,8232.0,1386597176.0
NE,18565.0,2727637044.0
NH,7113.0,1520212834.0
NJ,17187.0,5897533934.0
NM,5365.0,1103753677.0
NV,4209.0,1255172600.0
NY,40975.0,11737950918.0
OH,38016.0,10368882724.0
OK,26451.0,4009914991.0
OR,9508.0,2427776445.0
PA,36604.0,9910549957.0
PR,1001.0,319308946.0
RI,4110.0,875591033.0
SC,14273.0,2756101029.0
SD,7986.0,1156576164.0
TN,19074.0,4742194968.0
TX,88434.0,21776306479.0
UT,12914.0,2617066864.0
VA,26880.0,6615120527.0
VI,68.0,13116530.0
VT,4886.0,853707598.0
WA,18906.0,4928845742.0
WI,31702.0,7288143288.0
WV,5211.0,1054712809.0
WY,5730.0,706932317.0
