Rank,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,250782,28789573885,114799,4.4
2,321350,24895741790,77472,3.8
3,73198,13187309267,180159,2.0
4,71144,13069658575,183707,2.0
5,169808,10242036290,60315,1.6
6,77461,8362377558,107956,1.3
7,39172,8042539072,205313,1.2
8,87365,6926110880,79278,1.0
9,42611,6866961957,161155,1.0
10,34378,6776783599,197126,1.0
11,35577,6501015257,182731,1.0
12,35300,5504074626,155923,0.8
13,127391,5131178105,40279,0.8
14,87452,5096448822,58277,0.8
15,48573,5040823630,103778,0.8
