LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$50K and Under,1877950,32856427350,73.26,20.7
>$50K - $100K,331866,23470699187,12.95,14.79
>$100K - $150K,130073,15887602486,5.07,10.01
>$150K - $350K,147602,32631473177,5.76,20.56
>$350K - $1M,61646,34365428096,2.4,21.65
>$1M - $2M,14130,19530467793,0.55,12.3
>$2M - $5M,6352,18857362992,0.25,11.88
>$5M,1548,11344127488,0.06,7.15
