LoanSize,LoanCount,NetDollars,PctofCount,PctofAmount
$50K and Under,2892911,53601900856,64.6,10.5
>$50K - $100K,651424,46401384379,14.6,9.1
>$100K - $150K,283506,34711114170,6.3,6.8
>$150K - $350K,368714,82859930321,8.2,16.2
>$350K - $1M,196770,111974156942,4.4,21.9
>$1M - $2M,52577,72839574524,1.2,14.3
>$2M - $5M,24857,73888784828,0.6,14.5
>$5M,4840,33957652904,0.1,6.7
