Rank,LenderName,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,,253562,29222448553,115248,4.4
2,,314613,25239980440,80225,3.8
3,,73264,13680070872,186723,2.1
4,,68558,12951395081,188912,2.0
5,,166972,10377435293,62151,1.6
6,,42586,8935219984,209816,1.4
7,,76239,8435606544,110647,1.3
8,,85065,6962933085,81854,1.1
9,,34122,6915340275,202665,1.0
10,,41695,6834172457,163909,1.0
11,,35574,6572140696,184746,1.0
12,,34197,5503272964,160929,0.8
13,,84586,5061206544,59835,0.8
14,,48065,5027574560,104599,0.8
15,,20417,4853717997,237729,0.7
