Rank,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,27307,14071396427,515304,
2,32097,10309843746,321209,
3,21062,9612090368,456371,
4,33594,7778303458,231538,
5,27929,6555028971,234703,
6,25820,6114676731,236819,
7,26238,6057787355,230878,
8,10681,4406088115,412516,
9,14215,4356840783,306496,
10,9457,4267336254,451236,
11,12001,4190129500,349148,
12,25151,3889799524,154658,
13,9673,3392990074,350769,
14,10642,2978045260,279839,
15,40746,2966427908,72803,
