Rank,LenderName,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,JPMorgan Chase Bank,257860,28633018520,111041,4.3
2,Bank of America,328993,25069189752,76200,3.8
3,PNC Bank,72705,13051904871,179519,2.0
4,Truist Bank,74001,12910364033,174462,2.0
5,Wells Fargo Bank,173902,10229959006,58826,1.5
6,TD Bank,80086,8390956498,104774,1.3
7,KeyBank,39590,8054444760,203446,1.2
8,U.S. Bank,93234,7144786434,76633,1.1
9,Zions Bank,44010,6834112154,155285,1.0
10,M&T Bank,34742,6785949823,195324,1.0
11,Huntington Bank,35350,6459488606,182730,1.0
12,Fifth Third Bank,36090,5372235710,148857,0.8
13,Citizens Bank,48491,4965576541,102402,0.8
14,BMO Harris Bank,20755,4776803812,230152,0.7
15,Cross River Bank,106116,4700319635,44294,0.7
