State,LoanCount,NetDollars
AK,10523,1226779393
AL,63121,6133082094
AR,41449,3288704224
AS,156,7300565
AZ,77469,8520213630
CA,550786,67151771059
CO,101038,10270215384
CT,58257,6628795320
DC,11825,2119014772
DE,12046,1472184589
FL,368459,31243298708
GA,145623,14163368242
GU,2036,194161761
HI,24036,2474132157
IA,56603,5048619299
ID,29336,2553027684
IL,192727,22233685117
IN,76056,9402888512
KS,50522,4958578474
KY,46966,5202162958
LA,70573,7269488528
MA,108925,14199057483
MD,77288,9901301566
ME,26400,2228185817
MI,116671,15812206905
MN,94676,11109492485
MO,88740,9075510168
MP,440,38159067
MS,44121,3142240687
MT,22583,1753302235
NC,116858,12293397048
ND,19319,1757412007
NE,41361,3406735275
NH,23011,2523897886
NJ,139919,16972372250
NM,21201,2218565298
NV,40060,4068833898
NY,305774,37764342889
OH,134574,18210830774
OK,62805,5410350463
OR,60060,6864040749
PA,160452,20554873017
PR,34538,1761241545
RI,16620,1865533955
SC,60871,5674918865
SD,21752,1651402470
TN,89170,8817129390
TX,372077,40535431650
UT,49343,5210457754
VA,104963,12480799669
VI,1620,120386515
VT,11473,1176053186
WA,96589,12151909685
WI,82715,9811664163
WV,16830,1783456999
WY,12985,1026717474
To be confirmed,169,6106158
