State,LoanCount,NetDollars
AK,3920,338700245
AL,26724,1420911674
AR,15454,618440796
AS,61,3652041
AZ,43915,3700883292
CA,320156,33221856619
CO,46157,3061726894
CT,29559,2556813941
DC,6093,997969759
DE,4872,366280938
FL,185904,12220512311
GA,64784,4663014079
GU,1029,83621154
HI,7717,413825280
IA,19997,781691743
ID,12411,719804044
IL,89735,6578447775
IN,31757,2060003401
KS,18470,815029924
KY,18202,1096947956
LA,33014,2168728927
MA,48768,4363228611
MD,34732,3232203429
ME,9026,317222402
MI,60373,5566493089
MN,37267,2196430755
MO,32252,1695268247
MP,243,20469199
MS,16757,658857785
MT,7227,277260266
NC,56512,4270668690
ND,6575,229657450
NE,13695,475741827
NH,8929,572892765
NJ,77364,7486962885
NM,10001,758792852
NV,21963,1935918929
NY,164271,17607925411
OH,58834,4712846309
OK,20919,877230097
OR,31119,3026577991
PA,71287,5379797630
PR,19691,987677005
RI,6822,550410679
SC,28366,1859562379
SD,7835,279559463
TN,40971,2408173223
TX,175418,12789880775
UT,21751,1676852890
VA,46368,3970159927
VI,723,52042710
VT,3724,191854618
WA,50288,5041408822
WI,29947,1679859519
WV,7042,460178499
WY,4222,195828589
To be confirmed,578,48489398
